Date,Time,Sensor_2278,Sensor_3276,Sensor_4689,Sensor_5032
9/2/2016,1000,69.27878788,69.54615385,54.46153846,66.7989899
9/2/2016,1015,69.57979798,69.62135922,55.13125,67.62121212
9/2/2016,1030,69.72020202,69.70288462,58.475,68.43434343
9/2/2016,1045,69.86868687,69.64326923,57.53846154,68.5030303
9/2/2016,1100,70.13737374,69.62912621,56.56666667,68.87272727
9/2/2016,1115,70.49494949,69.50291262,55.62941176,68.26868687
9/2/2016,1130,70.75353535,69.58446602,54.08,67.5
9/2/2016,745,70.91717172,67.04875,53.79230769,62.67676768
9/2/2016,800,71.072,66.86375,55.58666667,53.02323232
9/2/2016,815,71.16336634,66.39375,55.58181818,46.67272727
9/2/2016,830,71.20693069,66.3475,56.79545455,47.70707071
9/2/2016,845,71.45841584,66.2225,55.68125,50.67346939
9/2/2016,900,71.5990099,66.575,56.89444444,52.97979798
9/2/2016,915,71.63861386,66.30625,60.1375,58.15353535
8/2/2016,1615,71.5980198,68.54854369,58.125,62.33030303
8/2/2016,1630,71.76732673,68.36893204,58.82727273,66.275
8/2/2016,1645,71.87029703,68.21165049,58.81176471,67.92
8/2/2016,1700,71.75445545,68.53009709,60.02142857,68.196
8/2/2016,1715,71.69108911,68.67475728,59.97333333,68.624
8/2/2016,1730,71.39405941,68.95882353,59.66818182,68.266
8/2/2016,1615,71.32079208,66.12375,57.81304348,67.871
8/2/2016,1630,71.332,65.82,57.89473684,68.025
8/2/2016,1615,71.254,65.24,58.51904762,68.13
8/2/2016,1630,71.06138614,65.8025,58.80869565,67.997
7/28/2016,1900,70.88613861,68.19514563,59.03,68.09009901
7/28/2016,1915,71.14455446,68.13786408,59.06111111,67.82178218
7/28/2016,1930,71.15247525,68.26893204,58.01111111,67.7970297
7/28/2016,1945,71.10792079,68.06407767,58.31578947,67.75445545
7/28/2016,2000,71.10990099,68.1631068,56.73571429,67.77524752
7/28/2016,2015,71.0950495,68.11650485,58.98,67.864
7/28/2016,2030,71.17722772,67.91442308,58.13125,67.761
7/28/2016,2045,70.88316832,67.86730769,57.61333333,67.589
7/28/2016,2100,70.87425743,67.63846154,59.56428571,67.74242424
7/8/2016,830,71.07029703,69.82718447,60.18823529,67.7040404
7/8/2016,845,71.2950495,69.61747573,61.3,67.68181818
7/8/2016,900,71.3029703,69.65825243,60.34285714,67.71717172
7/8/2016,915,71.27524752,69.82718447,59.94705882,67.5959596
7/8/2016,930,71.17425743,69.8815534,61.4125,67.50808081
7/8/2016,945,71.18514851,69.45192308,60.73,67.74646465
6/18/2016,1815,71.12871287,69.29009901,60.425,67.68181818
6/18/2016,1830,71.04950495,69.23267327,60.34444444,67.94545455
6/18/2016,1815,70.83861386,67.57307692,60.26363636,68.05454545
6/18/2016,1830,70.8980198,67.34358974,60.44,68.08989899
6/18/2016,1815,70.69009901,67.67820513,55.61428571,68.12323232
6/18/2016,1830,70.58613861,67.78461538,59.33333333,67.933
6/18/2016,1845,70.46534653,67.98860759,59.1,67.95346535
6/18/2016,1900,70.55643564,68.07594937,59.28181818,67.68415842
6/18/2016,1915,70.71287129,67.26835443,56.93333333,67.99405941
6/18/2016,1930,70.63960396,67.2,57.93333333,67.93267327
6/18/2016,1815,70.49207921,67.16901408,55.13125,67.86138614
6/18/2016,1830,70.37722772,66.97183099,57.45,67.62376238
6/18/2016,1845,70.31782178,66.71408451,57.79166667,67.40990099
6/18/2016,1900,70.25,66.63661972,57.78,67.10891089
6/18/2016,1915,70.14215686,65.77746479,58.475,66.93960396
6/18/2016,1930,70.32156863,66.07323944,56.46363636,66.8950495
6/18/2016,1945,70.27745098,65.94225352,57.53846154,66.71584158
6/18/2016,2000,70.02941176,65.47183099,56.23333333,66.65841584
6/18/2016,2015,69.66960784,65.1915493,55.62941176,66.59207921
6/18/2016,2030,69.47647059,64.65352113,54.08,66.45643564
5/10/2016,645,69.37941176,68.49306931,53.79230769,66.23564356
5/10/2016,700,69.30098039,68.75445545,55.58666667,66.02475248
5/10/2016,715,69.03168317,68.81881188,54.7,65.92376238
5/10/2016,730,68.9049505,68.76336634,56.01578947,65.57227723
5/10/2016,745,68.786,68.77722772,55.58181818,65.46336634
5/10/2016,800,68.90594059,68.57425743,56.79545455,65.33168317
5/10/2016,815,69.06960784,68.55049505,55.68125,65.58613861
5/10/2016,830,69.01666667,68.72277228,56.89444444,65.56732673
4/4/2016,945,69.01862745,69.374,60.1375,65.56633663
4/4/2016,1000,69.01372549,69.375,58.125,65.39108911
4/4/2016,1015,69.07156863,69.494,58.82727273,65.44950495
3/14/2016,615,69.15686275,68.61,58.81176471,65.524
3/14/2016,630,69.116,68.87,59.66818182,65.535
3/14/2016,645,69.326,69.28888889,57.81304348,65.563
3/14/2016,700,69.178,69.58787879,57.89473684,65.537
3/13/2016,2200,69.03535354,68.72178218,58.0952381,66.81836735
3/13/2016,2215,68.93636364,68.43235294,58.19473684,66.71938776
3/13/2016,2230,68.94141414,68.40294118,58.51904762,66.46326531
3/13/2016,1215,68.86868687,71.71782178,58.80869565,66.07857143
3/13/2016,1230,68.778,71.53168317,59.03,65.65
3/13/2016,1245,68.795,71.37524752,59.06111111,65.59081633
3/13/2016,1300,68.768,71.59207921,58.01111111,65.45257732
3/8/2016,1115,68.755,68.64653465,58.31578947,65.32783505
3/8/2016,1130,68.78888889,68.73069307,57.75294118,65.1185567
3/8/2016,1145,68.807,68.36138614,57.28125,65.00206186
2/25/2016,1245,68.91616162,67.61584158,57.2,65.13571429
2/25/2016,1300,68.964,67.93168317,56.50555556,65.4185567
2/25/2016,1315,68.914,68.202,56.16666667,65.51340206
2/25/2016,1330,68.96868687,68.161,56.60555556,65.48556701
2/25/2016,1345,68.89393939,68.359,59.56428571,65.44329897
2/25/2016,1400,68.919,68.64141414,60.18823529,65.43298969
2/25/2016,1415,68.903,68.64455446,61.3,65.59285714
2/25/2016,1430,69.014,68.81568627,61.4125,65.71326531
2/25/2016,1445,69.186,69.03465347,60.73,65.70808081
2/25/2016,1500,69.186,69.15656566,60.74,65.84949495
2/25/2016,1515,69.128,68.66237624,60.56363636,66.22424242
2/25/2016,1530,69.08989899,68.82475248,62.2375,66.34646465
2/25/2016,1545,69.27878788,68.726,60.58,66.7989899
2/25/2016,1600,69.57979798,68.43069307,61.51818182,67.62121212
