Date,Time,Sensor_2278,Sensor_3276,Sensor_4689,Sensor_5032,Section1_Diff,Section2_Diff,Total_Avg 
2017/06/28,700,68.94141414,68.70792079,56.60555556,66.46326531,0.23349335000000337,-9.857709749999998,null,
2017/06/21,1530,68.86868687,68.58653846,58.13125,66.07857143,0.2821484100000049,-7.947321429999995,null,
2017/06/21,1545,68.778,68.66826923,59.56428571,65.65,0.10973076999999876,-6.085714290000006,null,
2017/05/21,1800,68.795,70.77156863,60.18823529,65.59081633,-1.9765686300000027,-5.402581039999994,null,
2017/05/21,1815,68.768,70.69901961,61.3,65.45257732,-1.9310196099999928,-4.152577320000006,null,
2017/05/21,1830,68.755,70.64117647,61.49333333,65.32783505,-1.8861764700000094,-3.8345017200000058,null,
2017/05/21,1845,68.78888889,70.06764706,60.34285714,65.1185567,-1.2787581700000032,-4.77569956,null,
2017/05/21,1900,68.807,69.87352941,59.94705882,65.00206186,-1.0665294100000011,-5.0550030399999955,null,
2017/05/21,1915,68.91616162,69.7627451,61.4125,65.13571429,-0.8465834800000067,-3.7232142899999943,null,
2017/05/21,1930,68.964,69.85490196,60.74,65.4185567,-0.8909019600000079,-4.678556699999994,null,
2017/05/21,1945,68.914,70.10686275,60.56363636,65.51340206,-1.1928627500000033,-4.9497657000000075,null,
2017/05/21,2000,68.96868687,69.99117647,60.54,65.48556701,-1.0224896,-4.945567009999998,null,
2017/05/21,2015,68.89393939,69.79705882,61.3,65.44329897,-0.9031194300000038,-4.143298970000004,null,
2017/05/21,2030,68.919,69.53465347,62.2375,65.43298969,-0.615653469999998,-3.1954896900000023,null,
2017/05/21,2045,68.903,69.38613861,60.58,65.59285714,-0.48313860999999747,-5.012857140000008,null,
2017/05/21,1830,69.014,67.6721519,61.51818182,65.71326531,1.3418480999999929,-4.195083489999995,null,
2017/05/21,1845,69.186,67.60886076,63.21428571,65.70808081,1.5771392400000082,-2.4937951,null,
2017/05/21,1900,69.186,67.62531646,63.02857143,65.84949495,1.5606835400000136,-2.820923519999994,null,
2017/05/21,1915,69.128,67.50253165,60.44,66.22424242,1.6254683500000056,-5.784242419999998,null,
2017/05/21,1930,69.08989899,67.59873418,57.51428571,66.34646465,1.4911648100000008,-8.832178939999999,null,
2017/05/21,1830,69.27878788,68.26329114,54.46153846,66.7989899,1.015496739999989,-12.337451439999995,null,
2017/05/21,1845,69.57979798,68.16075949,57.79166667,67.62121212,1.4190384899999913,-9.829545449999998,null,
2017/05/21,1900,69.72020202,68.19873418,57.78,68.43434343,1.5214678399999997,-10.654343429999997,null,
2017/05/21,1915,69.86868687,68.16708861,57.39090909,68.5030303,1.7015982600000115,-11.112121210000005,null,
2017/05/21,1930,70.13737374,68.3164557,56.46363636,68.87272727,1.8209180399999951,-12.409090909999996,null,
2017/05/21,1945,70.49494949,67.70253165,57.53846154,68.26868687,2.792417839999999,-10.730225329999996,null,
2017/05/21,2000,70.75353535,67.8443038,56.56666667,67.5,2.909231550000001,-10.933333330000004,null,
2017/05/21,2015,70.91717172,67.19746835,56.23333333,62.67676768,3.719703370000005,-6.443434349999997,null,
2017/05/21,1830,71.072,66.93098592,55.62941176,53.02323232,4.141014080000005,2.6061794400000053,null,
2017/05/21,1845,71.16336634,67.08028169,54.08,46.67272727,4.083084649999989,7.407272729999995,null,
2017/05/21,1900,71.20693069,67.25070423,53.79230769,47.70707071,3.9562264599999963,6.085236979999998,null,
2017/05/21,1915,71.45841584,66.94507042,56.01578947,50.67346939,4.513345420000007,5.34232008,null,
2017/05/21,1930,71.5990099,66.45492958,55.58181818,52.97979798,5.1440803200000005,2.6020201999999983,null,
2017/05/21,1945,71.63861386,66.10704225,56.79545455,58.15353535,5.53157161,-1.3580807999999962,null,
2017/05/21,1830,71.5980198,63.07868852,60.1375,62.33030303,8.519331280000003,-2.1928030300000003,null,
2017/05/21,1845,71.76732673,63.29836066,57.92857143,66.275,8.468966069999993,-8.346428570000008,null,
2017/05/21,1900,71.87029703,63.29836066,58.125,67.92,8.571936370000003,-9.795000000000002,null,
2017/05/21,1915,71.75445545,62.89508197,58.82727273,68.196,8.859373479999995,-9.36872727,null,
2017/04/08,1115,71.69108911,70.67,60.18823529,68.624,1.0210891099999913,-8.435764709999994,null,
2017/04/08,1130,71.39405941,70.355,61.3,68.266,1.039059409999993,-6.966000000000008,null,
2017/04/08,1115,71.32079208,67.60759494,61.49333333,67.871,3.7131971400000054,-6.377666669999996,null,
2017/04/08,1130,71.332,67.59873418,59.94705882,68.025,3.7332658199999997,-8.077941180000003,null,
